sequence_id,path,participant_id,sign,label,n_frames,has_lhand,has_rhand,has_pose,has_face,has_complete_lhand,has_complete_rhand,has_complete_pose,has_complete_face,out_of_frame_values_pct_lhand,out_of_frame_values_pct_rhand,out_of_frame_values_pct_pose,out_of_frame_values_pct_face
3311214787,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/28656/3311214787.parquet,28656,sticky,206,21,False,True,True,True,False,True,True,True,0.0,0.0045351473922902496,0.1471861471861472,0.0
3588192588,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/53618/3588192588.parquet,53618,before,20,101,False,True,True,True,False,False,True,True,0.0,0.0,0.13141314131413143,0.0
1363575346,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/4718/1363575346.parquet,4718,pretty,178,127,False,True,True,True,False,False,True,True,0.0,0.0,0.07874015748031496,0.0
951199059,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/37779/951199059.parquet,37779,hen,114,9,False,True,True,True,False,True,True,True,0.0,0.0,0.06060606060606061,0.0
283190141,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/36257/283190141.parquet,36257,tomorrow,221,51,True,False,True,True,False,False,True,True,0.0,0.0,0.1348781937017231,0.0
186594661,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/61333/186594661.parquet,61333,up,230,29,False,True,True,True,False,True,True,True,0.0,0.0,0.13270637408568442,0.0
782770724,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/53618/782770724.parquet,53618,blow,25,6,False,True,True,True,False,False,True,True,0.0,0.0,0.18181818181818182,0.0
2977903115,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/16069/2977903115.parquet,16069,weus,236,6,True,False,True,True,False,False,True,True,0.0,0.0,0.1111111111111111,0.0
269101282,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/2044/269101282.parquet,2044,read,184,6,False,True,True,True,False,False,True,True,0.0,0.0,0.17929292929292928,0.0
3171133897,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/28656/3171133897.parquet,28656,say,191,17,False,True,True,True,False,True,True,True,0.0,0.0,0.11853832442067737,0.0
2425523049,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/49445/2425523049.parquet,49445,zebra,248,39,True,True,True,True,False,False,True,True,0.0,0.0030525030525030525,0.06487956487956488,0.0
3586377265,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/18796/3586377265.parquet,18796,sad,189,37,False,True,True,True,False,False,True,True,0.0,0.0,0.09131859131859132,0.0
98693993,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/34503/98693993.parquet,34503,drawer,62,49,True,False,True,True,False,False,True,True,0.0,0.0,0.10142238713667286,0.0
1051321002,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/2044/1051321002.parquet,2044,animal,5,12,False,True,True,True,False,False,True,True,0.0,0.0,0.10732323232323232,0.0
3910863104,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/4718/3910863104.parquet,4718,tomorrow,221,12,False,True,True,True,False,False,True,True,0.0,0.0,0.06818181818181818,0.0
1250922352,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/2044/1250922352.parquet,2044,pen,167,13,False,True,True,True,False,True,True,True,0.0,0.0,0.06060606060606061,0.0
744022975,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/62590/744022975.parquet,62590,donkey,60,6,False,True,True,True,False,False,True,True,0.0,0.0,0.13636363636363635,0.0
2837571064,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/2044/2837571064.parquet,2044,cheek,41,29,False,True,True,True,False,False,True,True,0.0,0.0,0.10501567398119123,0.0
3918793625,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/32319/3918793625.parquet,32319,cowboy,51,49,True,False,True,True,False,False,True,True,0.0,0.0,0.11533704390847248,0.0
429577301,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/34503/429577301.parquet,34503,scissors,192,26,True,False,True,True,True,False,True,True,0.004578754578754579,0.0,0.12878787878787878,0.0
56956873,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/53618/56956873.parquet,53618,quiet,181,66,False,True,True,True,False,False,True,True,0.0,0.0,0.08930211202938476,0.0
3211327389,/home/gpu/Kaggle/GOOGLE-ASL/data/raw/train_landmark_files/2044/3211327389.parquet,2044,drink,63,11,False,True,True,True,False,True,True,True,0.0,0.0,0.08677685950413223,0.0
